State,Death Penalty
Alabama,Death penalty
Alaska,No death penalty
Arizona,Death penalty
Arkansas,Death penalty
California,Death penalty
Colorado,Death penalty
Connecticut,Death penalty
Delaware,Death penalty
Florida,Death penalty
Georgia,Death penalty
Hawaii,No death penalty
Idaho,Death penalty
Illinois,Death penalty
Indiana,Death penalty
Iowa,Death penalty
Kansas,Death penalty
Kentucky,Death penalty
Louisiana,Death penalty
Maine,No death penalty
Maryland,Death penalty
Massachuse,Death penalty
Michigan,No death penalty
Minnesota,No death penalty
Mississippi,Death penalty
Missouri,Death penalty
Montana,Death penalty
Nebraska,Death penalty
Nevada,Death penalty
New Hampshire,Death penalty
New Jersey,Death penalty
New Mexico,Death penalty
New York,Death penalty
North Carolina,Death penalty
North Dakota,Death penalty
Ohio,Death penalty
Oklahoma,Death penalty
Oregon,Death penalty
Pennsylvania,Death penalty
Rhode Isla,Death penalty
South Carolina,Death penalty
South Dakota,Death penalty
Tennessee,Death penalty
Texas,Death penalty
Utah,Death penalty
Vermont,Death penalty
Virginia,Death penalty
Washington,Death penalty
West Virginia,Death penalty
Wisconsin,No death penalty
Wyoming,Death penalty
