Name,Birth,Death,Birth Year,Birth Days (since 1 CE),Days since January 1 at Birth,Death Year,Death Days (since 1 CE),Days since January 1 at Death,Life Years,Life Days
George Washington,1732-02-22,1799-12-14,1732,632286,53,1799,657053,348,67,24767
John Adams,1735-10-30,1826-07-04,1735,633632,303,1826,666751,185,90,33119
Thomas Jefferson,1743-04-13,1826-07-04,1743,636354,103,1826,666751,185,83,30397
James Madison,1751-03-16,1836-06-28,1751,639248,75,1836,670398,180,85,31150
James Monroe,1758-04-28,1831-07-04,1758,641848,118,1831,668577,185,73,26729
Andrew Jackson,1767-03-15,1845-06-08,1767,645091,74,1845,673665,159,78,28574
John Quincy Adams,1767-07-11,1848-02-23,1767,645209,192,1848,674655,54,80,29446
William Henry Harrison,1773-02-09,1841-04-04,1773,647249,40,1841,672139,94,68,24890
Martin Van Buren,1782-12-05,1862-07-24,1782,650835,339,1862,679920,205,79,29085
Zachary Taylor,1784-11-24,1850-07-09,1784,651555,329,1850,675522,190,65,23967
John Tyler,1790-03-29,1862-01-18,1790,653506,88,1862,679733,18,71,26227
James Buchanan,1791-04-23,1868-06-01,1791,653896,113,1868,682059,153,77,28163
James K. Polk,1795-11-02,1849-06-15,1795,655550,306,1849,675133,166,53,19583
Millard Fillmore,1800-01-07,1874-03-08,1800,657077,7,1874,684165,67,74,27088
Franklin Pierce,1804-11-23,1869-10-08,1804,658858,328,1869,682553,281,64,23695
Andrew Johnson,1808-12-29,1875-07-31,1808,660355,364,1875,684675,212,66,24320
Abraham Lincoln,1809-02-12,1865-04-15,1809,660400,43,1865,680916,105,56,20516
Ulysses S. Grant,1822-04-27,1885-07-23,1822,665222,117,1885,688320,204,63,23098
Rutherford B. Hayes,1822-10-04,1893-01-17,1822,665382,277,1893,691055,17,70,25673
Chester A. Arthur,1829-10-05,1886-11-18,1829,667940,278,1886,688803,322,57,20863
James A. Garfield,1831-11-19,1881-09-19,1831,668715,323,1881,686917,262,49,18202
Benjamin Harrison,1833-08-20,1901-03-13,1833,669355,232,1901,694031,72,67,24676
Grover Cleveland,1837-03-18,1908-06-24,1837,670661,77,1908,696691,176,71,26030
William McKinley,1843-01-29,1901-09-14,1843,672804,29,1901,694216,257,58,21412
Woodrow Wilson,1856-12-28,1924-02-03,1856,677886,363,1924,702393,34,67,24507
William Howard Taft,1857-09-15,1930-03-08,1857,678147,258,1930,704618,67,72,26471
Theodore Roosevelt,1858-10-27,1919-01-06,1858,678554,300,1919,700539,6,60,21985
Warren G. Harding,1865-11-02,1923-08-02,1865,681117,306,1923,702208,214,57,21091
Calvin Coolidge,1872-07-04,1933-01-05,1872,683553,186,1933,705652,5,60,22099
Herbert Hoover,1874-08-10,1964-10-20,1874,684320,222,1964,717263,294,90,32943
Franklin D. Roosevelt,1882-01-30,1945-04-12,1882,687050,30,1945,710132,102,63,23082
Harry S. Truman,1884-05-08,1972-12-26,1884,687879,129,1972,720252,361,88,32373
Dwight D. Eisenhower,1890-10-14,1969-03-28,1890,690229,287,1969,718883,87,78,28654
Lyndon B. Johnson,1908-08-27,1973-01-22,1908,696755,240,1973,720279,22,64,23524
Ronald Reagan,1911-02-06,2004-06-05,1911,697648,37,2004,731736,157,93,34088
Richard M. Nixon,1913-01-09,1994-04-22,1913,698351,9,1994,728039,112,81,29688
Gerald R. Ford,1913-07-14,2006-12-26,1913,698537,195,2006,732670,360,93,34133
John F. Kennedy,1917-05-29,1963-11-22,1917,699952,149,1963,716930,326,46,16978
