DATE,rate
1994-01-01,11.172
1994-04-01,10.7883
1994-07-01,10.4831
1994-10-01,10.2361
1995-01-01,10.1832
1995-04-01,10.1071
1995-07-01,10.1084
1995-10-01,10.1046
1996-01-01,10.0531
1996-04-01,9.9782
1996-07-01,9.8631
1996-10-01,9.7301
1997-01-01,9.7366
1997-04-01,9.537
1997-07-01,9.3037
1997-10-01,9.2069
1998-01-01,9.0969
1998-04-01,8.8923
1998-07-01,9.0645
1998-10-01,8.8935
1999-01-01,8.7141
1999-04-01,8.9188
1999-07-01,8.7204
1999-10-01,8.541
2000-01-01,8.3379
2000-04-01,8.4199
2000-07-01,8.4458
2000-10-01,8.4192
2001-01-01,8.4969
2001-04-01,8.804
2001-07-01,8.9862
2001-10-01,9.6705
2002-01-01,9.93
2002-04-01,9.8924
2002-07-01,9.8211
2002-10-01,9.6759
2003-01-01,9.9142
2003-04-01,10.0221
2003-07-01,10.0877
2003-10-01,9.9961
2004-01-01,9.8511
2004-04-01,9.7344
2004-07-01,9.6846
2004-10-01,9.7019
2005-01-01,9.5387
2005-04-01,9.4368
2005-07-01,9.3486
2005-10-01,9.3271
2006-01-01,9.178
2006-04-01,9.1606
2006-07-01,9.142
2006-10-01,9.0866
2007-01-01,9.0183
2007-04-01,9.1577
2007-07-01,9.1351
2007-10-01,9.2266
2008-01-01,9.3475
2008-04-01,9.5938
2008-07-01,10.1713
2008-10-01,10.689
2009-01-01,12.0139
2009-04-01,12.5497
2009-07-01,12.7404
2009-10-01,12.8557
2010-01-01,12.7311
2010-04-01,12.5664
2010-07-01,12.3897
2010-10-01,12.4329
2011-01-01,12.3017
2011-04-01,12.247
2011-07-01,12.2507
2011-10-01,12.1214
2012-01-01,11.7973
2012-04-01,11.6771
2012-07-01,11.7318
2012-10-01,11.5387
2013-01-01,11.7434
2013-04-01,11.4562
2013-07-01,11.2893
2013-10-01,11.2656
2014-01-01,10.7737
2014-04-01,10.663
2014-07-01,10.5998
2014-10-01,10.4158
2015-01-01,10.281
2015-04-01,10.1483
2015-07-01,9.9166
2015-10-01,9.8385
2016-01-01,9.6174
2016-04-01,9.7146
