Index,Position,Year,Population
0,Item #1,1950,2557628654
1,Item #2,1951,2594939877
2,Item #3,1952,2636772306
3,Item #4,1953,2682053389
4,Item #5,1954,2730228104
5,Item #6,1955,2782098943
6,Item #7,1956,2835299673
7,Item #8,1957,2891349717
8,Item #9,1958,2948137248
9,Item #10,1959,3000716593
10,Item #11,1960,3043001508
11,Item #12,1961,3083966929
12,Item #13,1962,3140093217
13,Item #14,1963,3209827882
14,Item #15,1964,3281201306
15,Item #16,1965,3350425793
16,Item #17,1966,3420677923
17,Item #18,1967,3490333715
18,Item #19,1968,3562313822
19,Item #20,1969,3637159050
20,Item #21,1970,3712697742
21,Item #22,1971,3790326948
22,Item #23,1972,3866568653
23,Item #24,1973,3942096442
24,Item #25,1974,4016608813
25,Item #26,1975,4089083233
26,Item #27,1976,4160185010
27,Item #28,1977,4232084578
28,Item #29,1978,4304105753
29,Item #30,1979,4379013942
30,Item #31,1980,4451362735
31,Item #32,1981,4534410125
32,Item #33,1982,4614566561
33,Item #34,1983,4695736743
34,Item #35,1984,4774569391
35,Item #36,1985,4856462699
36,Item #37,1986,4940571232
37,Item #38,1987,5027200492
38,Item #39,1988,5114557167
39,Item #40,1989,5201440110
40,Item #41,1990,5288955934
41,Item #42,1991,5371585922
42,Item #43,1992,5456136278
43,Item #44,1993,5538268316
44,Item #45,1994,5618682132
45,Item #46,1995,5699202985
46,Item #47,1996,5779440593
47,Item #48,1997,5857972543
48,Item #49,1998,5935213248
49,Item #50,1999,6012074922
50,Item #51,2000,6088571383
51,Item #52,2001,6165219247
52,Item #53,2002,6242016348
53,Item #54,2003,6318590956
54,Item #55,2004,6395699509
55,Item #56,2005,6473044732
56,Item #57,2006,6551263534
57,Item #58,2007,6629913759
58,Item #59,2008,6709049780
59,Item #60,2009,6788214394
60,Item #61,2010,6866332358
61,Item #62,2011,6944055583
62,Item #63,2012,7022349283
63,Item #64,2013,7101027895
64,Item #65,2014,7178722893
65,Item #66,2015,7256490011
