triple,vertical
383.00,33.00
781.00,71.10
561.62,62.25
624.52,61.33
446.24,40.19
515.30,38.96
449.22,39.69
560.91,46.51
519.12,37.68
595.38,53.48
686.42,65.85
601.67,57.60
553.23,37.66
529.22,41.70
561.16,48.98
465.88,34.14
497.30,56.12
592.71,53.91
679.95,67.60
531.92,51.29
562.83,53.82
447.53,42.05
683.56,48.55
630.60,66.76
644.69,59.38
479.34,43.68
745.95,66.14
667.12,61.50
411.63,37.65
483.32,37.59
638.67,60.10
477.62,42.57
467.60,49.97
400.31,48.42
586.62,52.41
513.26,42.27
464.71,35.76
403.22,34.96
475.63,41.84
568.04,47.53
